year_of_debates,negative,positive,anger,fear,anticipation,surprise,trust,sadness,joy,disgust,wordcount,negative_percent,positive_percent,anger_percent,fear_percent,anticipation_percent,surprise_percent,trust_percent,sadness_percent,joy_percent,disgust_percent
1963,10179,22276,3545,6895,8947,3176,17047,4030,5376,1404,40339,0.2523364485981308,0.5522199360420437,0.08788021517638017,0.17092639877042068,0.2217952849599643,0.07873274002826049,0.4225935199186891,0.09990331936835321,0.13327053223927215,0.03480502739284563
1964,20492,45565,7995,13837,16514,6372,37107,8228,10546,3157,83189,0.24633064467657984,0.5477286660495979,0.09610645638245441,0.16633208717498707,0.19851182247652935,0.07659666542451526,0.44605656997920395,0.09890730745651469,0.12677156835639328,0.03794972893050764
1967,25542,58988,9896,16563,22778,7550,51562,11222,13414,3955,109395,0.2334841628959276,0.5392202568673157,0.09046117281411399,0.15140545728781024,0.2082179258649847,0.06901595136889255,0.4713378125142831,0.1025823849353261,0.12261986379633438,0.036153389094565565
1968,15664,35327,5923,9803,13463,4420,30194,6937,8166,2479,66203,0.23660559189160613,0.5336163013760705,0.08946724468679668,0.1480748606558615,0.20335936437925775,0.0667643460266151,0.4560820506623567,0.1047837711281966,0.12334788453695451,0.03744543298642056
1969,26417,58850,10384,15597,23432,8218,49854,11888,15487,4104,109284,0.24172797481790564,0.5385051791662091,0.09501848395007503,0.14271988580213024,0.21441382087039274,0.07519856520625161,0.45618754803996925,0.1087807913326745,0.14171333406537096,0.03755353025145493
1970,28708,63893,11203,18124,25307,8690,55737,13077,15756,5021,121653,0.2359826720261728,0.5252069410536526,0.09208979638808742,0.1489811184270014,0.2080261070421609,0.07143268147928945,0.45816379374121474,0.10749426647924835,0.1295159182264309,0.04127312931041569
1971,24708,57553,9154,15185,21744,7266,51044,10889,13469,3772,107324,0.23021877678804367,0.5362547053781074,0.08529313107972122,0.14148745853676717,0.20260146845067273,0.06770153926428385,0.4756065744847378,0.10145913309231859,0.12549849055197346,0.035145913309231856
1972,22462,54984,8631,13858,20771,7089,48752,10905,14035,3754,99812,0.22504308099226547,0.5508756462148839,0.08647256842864585,0.13884102111970503,0.2081012303129884,0.07102352422554402,0.48843826393620005,0.1092554001522863,0.14061435498737626,0.03761070813128682
1973,16517,38746,6355,9847,15088,5404,34153,8212,10974,2815,70478,0.23435682056812054,0.5497602088595023,0.09016998212208065,0.13971735860836004,0.21408098981242374,0.07667640965975198,0.48459093617866567,0.11651862992706943,0.15570816424983683,0.03994154204148812
1974,19901,48170,7644,12195,18805,6216,41184,9206,11917,3198,87825,0.22659834898946768,0.5484770851124395,0.08703672075149445,0.13885567890691716,0.21411898662112155,0.07077711357813835,0.468932536293766,0.10482208938229434,0.13569029319669798,0.0364133219470538
1975,1735,2680,759,709,1380,546,2579,915,841,334,5556,0.3122750179985601,0.48236141108711306,0.13660907127429806,0.12760979121670266,0.24838012958963282,0.09827213822894168,0.46418286537077036,0.16468682505399568,0.1513678905687545,0.06011519078473722
1977,65,147,20,27,35,6,199,21,8,9,316,0.20569620253164558,0.4651898734177215,0.06329113924050633,0.08544303797468354,0.11075949367088607,0.0189873417721519,0.629746835443038,0.06645569620253164,0.02531645569620253,0.028481012658227847
1978,4941,12442,1868,2690,5179,1704,10830,2328,3565,694,23120,0.21371107266435987,0.5381487889273356,0.08079584775086505,0.11634948096885814,0.2240051903114187,0.07370242214532872,0.46842560553633217,0.10069204152249135,0.1541955017301038,0.030017301038062282
1979,12294,30818,4670,7219,12774,4176,26932,6084,8949,2074,57124,0.21521602128702472,0.5394930327007913,0.08175197815279042,0.12637420348715075,0.2236187942020867,0.07310412436103915,0.47146558364260205,0.10650514669841048,0.15665919753518662,0.03630698130383026
1980,8389,21561,2880,5105,7913,2835,19148,4203,5905,1354,39119,0.21444822209156675,0.551164395817889,0.07362151384237839,0.13049924589074363,0.20228022188706254,0.07247117768859122,0.4894808149492574,0.10744139676372096,0.1509496664025154,0.034612336716173725
1981,33700,80727,13748,21227,30795,10647,71999,16579,21668,6327,150234,0.22431673256386703,0.5373417468748752,0.09151057683347312,0.14129291638377464,0.20498023083988978,0.0708694436678781,0.4792457100256933,0.11035451362541103,0.14422833712741456,0.04211430168936459
1983,17533,42002,7429,11349,17316,5818,36701,8845,11257,3578,78078,0.224557493788263,0.5379492302569225,0.09514844130228746,0.14535464535464535,0.2217782217782218,0.0745152283613822,0.4700555854402008,0.1132841517456902,0.1441763364840288,0.04582596890289198
1985,23532,64123,9004,14010,24532,7796,52166,11633,16598,4230,112563,0.2090562618267104,0.5696632108241607,0.07999076072954701,0.1244636336984622,0.21794017572381688,0.06925899274184234,0.46343825235645814,0.10334657036504002,0.14745520286417385,0.03757895578476053
1987,5677,14835,2382,3456,5532,1742,12506,2894,3610,1031,26824,0.21163883089770355,0.5530495079033702,0.08880107366537429,0.1288398449150015,0.2062332239785267,0.0649418431255592,0.4662242767670743,0.10788845809722636,0.1345809722636445,0.03843572919773337
1990,18158,50331,7008,11059,18147,5633,43781,9072,12866,3597,89268,0.2034099565353766,0.5638190617018416,0.07850517542680467,0.12388537885916566,0.2032867320876462,0.06310211946050097,0.4904445041896312,0.10162656271004167,0.14412779495451897,0.040294394407850515
1992,2584,5502,985,1378,2074,684,4805,1271,1426,381,10532,0.2453475123433346,0.5224078997341436,0.09352449677174327,0.13083934675275352,0.1969236612229396,0.06494492973794151,0.45622863653627044,0.12067983289023927,0.13539688568173186,0.036175465248765665
1996,30644,70326,13364,19398,25524,8453,62205,13565,15820,6018,132980,0.2304406677695894,0.5288464430741465,0.10049631523537374,0.14587155963302753,0.19193863738908107,0.06356594976688223,0.46777710933975036,0.10200782072492104,0.11896525793352383,0.045254925552714695
1997,34115,76397,14609,21215,25889,8879,67897,15382,16944,6768,143907,0.23706282529689313,0.5308775806597317,0.10151695192033744,0.14742159867136415,0.17990090822545116,0.06169956986109084,0.47181165613903425,0.10688847658557263,0.11774270883278784,0.04703037378306823
1998,24857,57956,10178,15737,20330,6564,53310,11099,13101,4722,109166,0.22769910045252184,0.5308978986131213,0.0932341571551582,0.14415660553652235,0.18623014491691553,0.06012861147243647,0.4883388600846417,0.10167084989832,0.12000989319018743,0.043255225986112894
1999,29291,67389,11858,18462,24017,7912,62085,13113,15584,5709,128108,0.22864301995191558,0.526032722390483,0.09256252536921972,0.1441127798420083,0.18747463078027915,0.061760389671214916,0.48463015580603863,0.10235894713835202,0.12164736003996628,0.04456396165735161
2004,35686,87609,14392,23451,30458,10081,80598,16416,20219,7073,164549,0.21687157017058747,0.5324189147305666,0.08746330880163355,0.14251681869838165,0.1850998790633793,0.06126442579414035,0.489811545497086,0.09976359625400337,0.12287525296416266,0.04298415669496624
2008,27282,73543,12078,18845,27066,8874,65905,12719,18360,5358,136327,0.2001217660478115,0.5394602683254234,0.08859580273900254,0.13823380548240627,0.19853734036544485,0.06509348845056372,0.4834332157239578,0.09329773265750732,0.13467618300116632,0.03930255928759527
2013,16735,41481,6525,11457,16849,5421,40362,7306,9650,2934,83595,0.20019139900711766,0.496213888390454,0.07805490759016688,0.13705365153418267,0.2015551169328309,0.06484837609904899,0.4828279203301633,0.08739757162509719,0.11543752616783301,0.03509779293019918
2014,21614,53397,9044,14309,19511,6348,53754,9127,11835,3794,107567,0.20093523106528954,0.4964068905891212,0.08407783056141753,0.1330240687199606,0.18138462539626465,0.05901438173417498,0.4997257523218087,0.08484944267293873,0.1100244498777506,0.03527104037483615
2015,21666,56942,8572,13302,20452,6746,57006,9334,11714,4146,112044,0.19337046160436971,0.5082110599407376,0.07650565849130699,0.11872121666488165,0.1825354325086573,0.06020848952197351,0.508782264110528,0.08330655813787441,0.10454821320195637,0.037003320124236905
